service_type,category,standard_price,standard_duration_minutes
AC Repair,HVAC,285.0,90
AC Installation,HVAC,3800.0,300
Furnace Repair,HVAC,320.0,100
Furnace Installation,HVAC,4200.0,330
Heat Pump Service,HVAC,240.0,80
Drain Cleaning,Plumbing,195.0,60
Water Heater Repair,Plumbing,310.0,95
Water Heater Install,Plumbing,1650.0,180
Leak Detection,Plumbing,225.0,75
Panel Upgrade,Electrical,2100.0,240
Outlet & Wiring,Electrical,175.0,60
Lighting Install,Electrical,340.0,110
Thermostat Install,HVAC,260.0,70
Preventive Maintenance,HVAC,145.0,60
